4	Белорусская государственная академия искусств
5	Академия Министерства внутренних дел Республики Беларусь
6	Академия управления при Президенте Республики Беларусь
7	Барановичский государственный университет
8	Белорусская государственная сельскохозяйственная академия
9	Белорусский государственный аграрный технический университет
10	Белорусская государственная академия авиации
11	Белорусская государственная академия искусств
12	Белорусская государственная академия музыки
13	Белорусская государственная академия связи
14	Белорусский государственный медицинский университет
15	Белорусский государственный педагогический университет имени Максима Танка
16	Белорусский государственный технологический университет
17	Белорусский государственный университет
18	Белорусский государственный университет информатики и радиоэлектроники
19	Белорусский государственный университет культуры и искусств
20	Белорусский государственный университет транспорта
21	Белорусский государственный университет физической культуры
22	Белорусский государственный экономический университет
23	Белорусский национальный технический университет
24	Белорусско-Российский университет
25	Брестский государственный технический университет
26	Брестский государственный университет имени А. С. Пушкина
